minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6072604817083856,32.117010299991314,14.377201502311635,37.666201027320845,8.045325040636627,16.748128108837825,9.87651180965539,25.844990806052042
0,Marvin the Martian,0.6141083843499138,30.015782538199804,15.853002898640511,29.684271316376048,6.44229521964912,19.719139145353246,13.560328195006452,24.101940996371976
0,Road Runner,0.6235835907362599,28.00014547849824,13.13873002084612,34.36254887530316,6.598093336506313,27.64741608827971,13.606901986559071,23.86952789889629
0,Foghorn Leghorn,0.609932412174226,31.192435844764706,15.168207629784439,31.70330872448558,5.3149925007904395,17.684672143350575,16.01726037279155,30.523781905801133
0,Bugs Bunny,0.6388075834635211,31.826339691770734,16.42908826608507,35.3615763280304,7.149636309635817,20.349009622561795,11.947340764018376,25.96031297828628
0,Elmer Fudd,0.618931774884978,31.174669449930676,15.288955506538402,35.297681972663135,3.379578100804655,22.957038587943497,20.010928683461124,35.883961698795545
0,Lola Bunny,0.6164875451587977,32.467436288750825,14.137209455911288,33.63081960604164,2.822526368632296,23.163728299862818,12.988449451377534,25.777962527248345
0,Porky Pig,0.5961663546933283,33.139460888695325,16.23816703504139,33.68008597082351,6.750544520115799,20.540477471387042,15.224761730901358,27.29081171850198
0,Tasmanian Devil,0.6095142642870793,26.88476176035651,15.70219016806147,36.2661139614377,4.422021798437378,25.3142419805957,7.067726617716056,15.587739151109698
0,Gossamer,0.6172585537905186,32.6785041785706,15.227663525156329,36.47262199424772,7.8312726668668375,14.847335969734713,11.847174123361846,29.248347661864013
0,Granny,0.609030607485455,31.33818356106434,15.138436583540546,33.34331684006966,7.6007101547927,18.767855905754868,15.623556150583864,29.694368786615765
0,Wile E. Coyote,0.6286520594130153,30.977009632127427,13.592051205179086,34.18492933270239,6.877157333703185,25.32186052674699,14.27807482817632,26.394623076022125
0,Tweety,0.6005642055224252,26.530534658748703,12.888044359889399,37.20429686392381,7.100510581191611,24.3978161550806,12.101807666894974,24.05319597513793
0,Penelope,0.6057642502320534,28.208191549653684,15.545659484211352,28.084737178851952,6.485384038535936,14.4487519716138,13.73302701633451,26.155373721676124
0,Daffy Duck,0.6235989992173739,26.569058460954885,15.839298334438274,35.59684359295659,6.894867236132118,20.35638503723529,12.31645393410489,25.61774936661706
12,Sylvester,0.6322304278534904,29.76334721711013,13.211612696335367,35.474375968559364,7.66131783232132,22.860050482245207,10.828354592687772,24.00258556600078
12,Marvin the Martian,0.607911106959521,31.306063673703225,14.122315641727212,30.65229707366566,7.0363830725632095,27.85819337866146,11.1146282744978,16.83251905377323
12,Road Runner,0.6217361394289646,28.719188360120018,13.610837369366703,35.86565642440073,6.006833883471268,25.224660732629445,14.863949973848174,27.8669369078585
12,Foghorn Leghorn,0.6132856839678564,33.58666594906731,15.356553923130798,35.993285795259325,5.675668557025558,21.575187533440626,17.271750383161912,32.65601449890708
12,Bugs Bunny,0.6342368177318151,32.90888125292717,16.421229434103555,32.998679637034186,3.3522862546530794,16.62229784773182,15.890327700168541,33.13052169100959
12,Elmer Fudd,0.6272117994985559,34.76691546703234,15.078180057852048,35.473372883239094,3.9132656423926067,23.85595940976733,14.24892022872482,28.242295904210177
12,Lola Bunny,0.6288235127974121,33.9234349042936,13.411447720413424,38.702851319244395,4.190080066786839,17.4284710395698,15.226849860630246,36.38198112800414
12,Porky Pig,0.6031808812717756,30.747638748119222,16.061833146947066,34.755332890291974,3.220557946471072,18.01579275887595,15.226859587634632,30.65024462413184
12,Tasmanian Devil,0.6021851132931947,29.688412119300903,14.30274109256244,37.30779409740523,6.73293005880041,22.49214965149993,10.430549369689336,22.684207411789725
12,Gossamer,0.6225103729998962,35.09349116719533,16.16622159951247,37.18838467048343,6.57526516018269,21.507263079098333,8.964997856614069,21.8808704734117
12,Granny,0.6051885808666291,25.47210743184067,14.631184847743333,37.469359547222886,6.945834118625807,21.432145462757852,11.672743402637995,24.68214157299637
12,Wile E. Coyote,0.6199441285472957,29.622086560962217,13.893641648331915,36.97603653636312,6.596508159173187,19.341777154072926,14.927726498129811,31.94614638776009
12,Tweety,0.6126721198863779,30.827278345928008,13.78664203314529,34.29443487764129,6.34717445281441,27.123751723295097,11.958076169053575,21.22366496178162
12,Penelope,0.6133670498681129,32.56017153667004,14.539444399576112,28.424681280562332,8.153734326508395,19.19193662488801,9.966586326436914,19.19447133074075
